,prediction,label,label_decoded
L36221,0,0,aerobe
AF247813,0,0,aerobe
M21290,2,0,aerobe
X73445,1,1,anaerobe
DQ017065,0,0,aerobe
X07998,0,0,aerobe
AY426714,1,0,aerobe
AF218782,0,2,facultative
AJ292530,2,2,facultative
AJ491847,0,0,aerobe
AF292373,1,1,anaerobe
S83624,1,1,anaerobe
AF292371,1,1,anaerobe
AF005017,0,0,aerobe
AJ582080,1,1,anaerobe
Y14651,1,1,anaerobe
L37422,0,1,anaerobe
X95230,1,1,anaerobe
D14142,2,1,anaerobe
M59059,1,1,anaerobe
AF481227,1,1,anaerobe
AB193261,1,0,aerobe
AF333760,0,0,aerobe
M59060,2,0,aerobe
X75618,2,0,aerobe
M58729,1,1,anaerobe
AY170379,1,1,anaerobe
D13947,1,0,aerobe
AJ566282,0,0,aerobe
LN626269,0,0,aerobe
U65582,2,2,facultative
AY323523,1,1,anaerobe
AJ536036,0,0,aerobe
AJ582088,2,0,aerobe
AJ239286,1,0,aerobe
U12624,2,0,aerobe
U13042,1,1,anaerobe
X79450,0,2,facultative
AB077817,1,1,anaerobe
AB300989,1,1,anaerobe
X70954,1,1,anaerobe
AB050827,2,2,facultative
AB266750,0,0,aerobe
AF198624,0,0,aerobe
AF002262,1,0,aerobe
DQ409137,0,0,aerobe
AM887529,1,1,anaerobe
DQ071273,1,1,anaerobe
AJ514909,2,2,facultative
Y18214,1,1,anaerobe
AY727530,2,2,facultative
L16490,2,1,anaerobe
L37444,0,0,aerobe
AF231131,2,2,facultative
X55404,1,1,anaerobe
AF429762,2,2,facultative
L34623,1,1,anaerobe
L19156,1,0,aerobe
HQ191474,1,1,anaerobe
AY820137,0,0,aerobe
Y15886,1,1,anaerobe
AJ865863,0,0,aerobe
AB125106,0,0,aerobe
X95817,1,1,anaerobe
AY741342,1,0,aerobe
AF099062,1,1,anaerobe
D14123,0,0,aerobe
AY904352,2,0,aerobe
X52909,0,0,aerobe
M59231,1,1,anaerobe
EU342372,0,0,aerobe
AB041226,0,2,facultative
AB233029,1,1,anaerobe
AY743277,0,0,aerobe
AJ231195,1,0,aerobe
AF382396,1,1,anaerobe
D63572,0,0,aerobe
AY581888,1,0,aerobe
AJ404370,1,1,anaerobe
AF120163,1,1,anaerobe
AJ315980,1,1,anaerobe
Y13105,1,1,anaerobe
AJ440214,2,0,aerobe
AB039769,1,1,anaerobe
AJ518871,1,1,anaerobe
AY497470,2,2,facultative
AM410694,0,0,aerobe
U11014,0,0,aerobe
EF558367,2,2,facultative
AJ302312,0,2,facultative
AB370249,1,1,anaerobe
X71852,1,1,anaerobe
EF141348,0,0,aerobe
AF011347,1,2,facultative
AJ227784,2,0,aerobe
AF050169,0,1,anaerobe
AF357197,1,1,anaerobe
X99560,1,1,anaerobe
AY278646,2,2,facultative
